City,month_year,PM2.5,PM10,NO,NO2,CO,latitude,longitude
Ahmedabad,2015-01,330.73,0.0,692.92,832.25,692.92,23.0216238,72.5797068
Ahmedabad,2015-02,2902.54,0.0,545.5,782.88,545.5,23.0216238,72.5797068
Ahmedabad,2015-03,3314.08,0.0,421.15,838.12,421.15,23.0216238,72.5797068
Ahmedabad,2015-04,3050.46,0.0,219.19,622.62,219.19,23.0216238,72.5797068
Ahmedabad,2015-05,2322.5,0.0,264.42,537.1,264.42,23.0216238,72.5797068
Ahmedabad,2015-06,1469.21,0.0,237.05,416.84,237.05,23.0216238,72.5797068
Ahmedabad,2015-07,1625.01,0.0,181.38,232.43,181.38,23.0216238,72.5797068
Ahmedabad,2015-08,1267.28,0.0,338.17,538.99,338.17,23.0216238,72.5797068
Ahmedabad,2015-09,1227.03,0.0,332.65,458.74,332.65,23.0216238,72.5797068
Ahmedabad,2015-10,3402.89,0.0,662.45,974.14,662.45,23.0216238,72.5797068
Ahmedabad,2015-11,1202.52,0.0,250.0,269.65,250.0,23.0216238,72.5797068
Ahmedabad,2015-12,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2016-01,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2016-02,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2016-03,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2016-04,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2016-05,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2016-06,131.9,0.0,42.36,104.84,42.36,23.0216238,72.5797068
Ahmedabad,2016-07,1157.56,0.0,590.95,664.88,590.95,23.0216238,72.5797068
Ahmedabad,2016-08,1458.35,0.0,504.36,468.78,504.36,23.0216238,72.5797068
Ahmedabad,2016-09,1034.75,0.0,273.75,224.57,273.75,23.0216238,72.5797068
Ahmedabad,2016-10,3267.98,0.0,406.55,353.67,406.55,23.0216238,72.5797068
Ahmedabad,2016-11,762.11,0.0,43.17,53.62,43.17,23.0216238,72.5797068
Ahmedabad,2016-12,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2017-01,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2017-02,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2017-03,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2017-04,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2017-05,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2017-06,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2017-07,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2017-08,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2017-09,0.0,0.0,0.0,0.0,0.0,23.0216238,72.5797068
Ahmedabad,2017-10,1206.29,0.0,482.0,241.24,482.0,23.0216238,72.5797068
Ahmedabad,2017-11,2971.44,0.0,1057.73,2573.38,1057.73,23.0216238,72.5797068
Ahmedabad,2017-12,2301.4900000000002,0.0,460.61,2283.53,460.61,23.0216238,72.5797068
Ahmedabad,2018-01,2754.39,0.0,1025.3,4391.05,1025.3,23.0216238,72.5797068
Ahmedabad,2018-02,2759.36,0.0,1541.43,4204.76,1541.43,23.0216238,72.5797068
Ahmedabad,2018-03,3035.4,0.0,1069.78,3555.59,1069.78,23.0216238,72.5797068
Ahmedabad,2018-04,2451.95,0.0,678.56,1851.38,678.56,23.0216238,72.5797068
Ahmedabad,2018-05,1660.1100000000001,0.0,380.79,1034.66,380.79,23.0216238,72.5797068
Ahmedabad,2018-06,1704.63,0.0,877.01,1372.37,877.01,23.0216238,72.5797068
Ahmedabad,2018-07,1784.7,0.0,858.14,1851.87,858.14,23.0216238,72.5797068
Ahmedabad,2018-08,1302.22,0.0,853.25,1693.8799999999999,853.25,23.0216238,72.5797068
Ahmedabad,2018-09,762.67,0.0,899.2,2463.48,899.2,23.0216238,72.5797068
Ahmedabad,2018-10,2982.55,0.0,1174.89,3097.37,1174.89,23.0216238,72.5797068
Ahmedabad,2018-11,3064.51,0.0,1623.55,2774.3,1623.55,23.0216238,72.5797068
Ahmedabad,2018-12,2849.54,0.0,1085.82,2541.6,1085.82,23.0216238,72.5797068
Ahmedabad,2019-01,2773.15,0.0,1306.96,2565.6,1306.96,23.0216238,72.5797068
Ahmedabad,2019-02,1725.34,0.0,720.67,2021.37,720.67,23.0216238,72.5797068
Ahmedabad,2019-03,2076.66,0.0,837.41,2314.85,837.41,23.0216238,72.5797068
Ahmedabad,2019-04,2712.91,0.0,771.52,1979.69,771.52,23.0216238,72.5797068
Ahmedabad,2019-05,1482.35,2455.38,482.07,2160.37,482.07,23.0216238,72.5797068
Ahmedabad,2019-06,1300.49,3524.96,619.01,4007.0099999999998,619.01,23.0216238,72.5797068
Ahmedabad,2019-07,1355.33,3393.41,930.59,3461.68,930.59,23.0216238,72.5797068
Ahmedabad,2019-08,1347.28,4256.33,1023.35,1493.6,1023.35,23.0216238,72.5797068
Ahmedabad,2019-09,1277.94,2332.74,761.3,2477.9,761.3,23.0216238,72.5797068
Ahmedabad,2019-10,2420.02,4548.7,962.82,4749.1,962.82,23.0216238,72.5797068
Ahmedabad,2019-11,1854.11,3357.01,603.5600000000001,4257.32,603.5600000000001,23.0216238,72.5797068
Ahmedabad,2019-12,1974.95,3404.67,362.79,1213.13,362.79,23.0216238,72.5797068
Ahmedabad,2020-01,1680.56,3520.59,492.56,607.28,492.56,23.0216238,72.5797068
Ahmedabad,2020-02,2142.83,4202.33,778.23,1818.73,778.23,23.0216238,72.5797068
Ahmedabad,2020-03,1402.93,3349.5299999999997,257.47,1051.44,257.47,23.0216238,72.5797068
Ahmedabad,2020-04,931.67,2442.78,113.5,692.72,47.24,23.0216238,72.5797068
Ahmedabad,2020-05,815.44,2380.91,106.25,597.9,18.12,23.0216238,72.5797068
Ahmedabad,2020-06,877.32,3466.36,190.67000000000002,885.41,20.74,23.0216238,72.5797068
Ahmedabad,2020-07,37.63,0.0,4.42,35.04,0.28,23.0216238,72.5797068
Aizawl,2020-03,817.82,996.97,85.76,17.23,9.629999999999999,23.7435236,92.7382905
Aizawl,2020-04,629.24,823.04,240.84,8.7,8.8,23.7435236,92.7382905
Aizawl,2020-05,356.18,503.1,363.62,11.04,8.53,23.7435236,92.7382905
Aizawl,2020-06,93.7,287.02,361.45,6.86,5.07,23.7435236,92.7382905
Aizawl,2020-07,4.49,5.39,11.44,0.07,0.02,23.7435236,92.7382905
Amaravati,2017-11,526.29,838.42,23.53,169.44,0.8400000000000001,16.5096679,80.5184535
